"combn_dim","combn_id","auc_val_posed","auc_val_spont"
1,"vhy4eNSwOhiwwXjvdizK",0.5,0.5
1,"G9kv5JCRKDurGMHeaXZp",0.5,0.5
1,"18ljzIMOAgLLlhiFVgir",0.5,0.5
1,"CuDdmHFAFPZ41oNfO8Vd",0.5,0.5
1,"mRZFUeHOwXQIW28LWdzm",0.5,0.5
1,"9xuaLkbjO8gCGTVzPGH9",0.5,0.5
1,"AMwPDS8cPoo9cMlsnTqc",0.5,0.5
1,"jXwMdrC2pMAjcw7AYN0M",0.5,0.5
1,"iSnw4agPVuMwX6NB1P1w",0.5,0.5
1,"nCDq2YpeEX4GmXAMkR2R",0.5,0.5
1,"XIIvMtsBzP8c0iLKtFnu",0.5,0.5
1,"KPWdveRUjgO8h8dK5di7",0.5,0.5
1,"Z2chmEyvfTo7aZlvMmaj",0.5,0.5
1,"YmZzPQW2evdaUCGeQQk7",0.5,0.5
2,"EozfACHkWJuSBuZrRYi5",0.724883797361378,0.704786102062975
2,"1TQYbq5u8gBXblV8JwcC",0.765033448673587,0.754379742150392
2,"uirTNFdze57Q38ocVdEK",0.763204880226157,0.766160952593437
2,"BrXHZglTYm4DCYLCwISZ",0.747616421454076,0.737945798022599
2,"UGgseundlewwvkdWSNiv",0.710065121125293,0.739131208830337
2,"s78sUFVcA6wbrbmdVWk7",0.778969957081545,0.709571250667141
2,"WtkCCyCeKbP09Hm0k5OW",0.757839737238064,0.751239405085559
2,"s8iFnwWSyeEc5ipHcjTW",0.737149510682028,0.745548717169415
2,"4l9HGbmdX2SlBhJswsCi",0.769241207121146,0.75914315569488
2,"d9xFRm73PBtlbnuUW2ZX",0.761019155663009,0.748765217115991
2,"wOJjbB5tJGsMsgdB0p9a",0.695370543797216,0.604928366762178
2,"Hifvl7qV7SHxhXio0U8i",0.752563119479708,0.754534426257129
2,"7BTJAktfriwtAmqyTBqV",0.764538770053476,0.751716247139588
2,"plg7car8HUvzNHAzQubV",0.747139389736477,0.768481454278369
2,"j4QLZAq9Ubo6G5tjeb0O",0.740138888888889,0.798055555555556
2,"Bj5deMIzmoJ5alrTdRc1",0.749409967277412,0.777774339678689
2,"9twk7hjxZGYxJOjMJXPS",0.747884423929767,0.799004206826775
2,"EF8JgX6tsj1F5II0UbQC",0.848712446351931,0.75912236552375
2,"LSlzM0ZqUclBFCCH6oW0",0.749388928828181,0.781433007985803
2,"0RNklezHWyYD91Nt1zqn",0.750279617998796,0.767916666666667
2,"jPg9SzHE02yKzFOplkSX",0.749411302982732,0.782299196787149
2,"xmZRHxec7Rqbi9v8aIbe",0.74422973698336,0.79380412371134
2,"g3Ih4yCstc8aHQ93ZwAm",0.714128109872791,0.701820792273053
2,"u67lHk7pOcOyOmWLFkZR",0.742564818750379,0.805640521447819
2,"7TcKOMgtBZlwHms7vnxr",0.759601706970128,0.819444444444444
2,"rGdM34jrHmradjkBpr38",0.750160720025715,0.742969946015631
2,"tKmfshxNAMOlIX3OhW2l",0.757414424655804,0.772177215189873
2,"jxENTe0i1J5Cjg7HdhdW",0.8026106018334,0.771684016639417
2,"0ivqOr5SNY6Y7AIR4odY",0.877682403433476,0.715626021575678
2,"5M08DUWgvn0vSKyFnOOh",0.772840059067031,0.746046864308039
2,"TkpzP0aZCqFp5CRT2aYW",0.794227252337739,0.7471880659613
2,"aFG3RnZCZ9TGofk7ihWz",0.761176037920889,0.71495300565068
2,"xpb98YMGkm2JHivMTQK6",0.752920380153513,0.741444920377539
2,"HHJWEKMOTUKUVpzBdHIK",0.772504701810614,0.715896061556314
2,"zZpoyZ1DUXNJLyWApChZ",0.736790103405338,0.760516579196075
2,"lzdTjTESMlmLAQWCGDqj",0.777764812275737,0.791449913298653
2,"Q4FqGks1ynxPN5Z80xWG",0.7450954973641,0.823696723224927
2,"BcYQJpGxJXigbaGYk0m2",0.761051044177248,0.805263598676772
2,"vL8PPmpjFa7b4CLpnQhY",0.879828326180258,0.73203683509027
2,"NvjXojfdFSRrKS33nj1t",0.742437446359015,0.770886075949367
2,"JPtpZ0FFGZNHySapjEhc",0.762858478802993,0.788181279620853
2,"SUB2sAiPwZ9Bp2P4lLb3",0.743023340894124,0.771773182957393
2,"1vc8Sa9lLwXArg8JzonZ",0.731591679483925,0.762212643678161
2,"j4BrDKNREbIFph2hdeeo",0.77469342251951,0.754191467856054
